City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Mana,2,GF,88,5.66,-53.78,77.7,8.3
Saint-Joseph,0,RE,83,-21.37,55.62,73.4,10.29
Hermanus,40,ZA,95,-34.42,19.23,57.99,3.85
Thompson,90,CA,85,55.74,-97.86,21.2,9.17
Bredasdorp,0,ZA,93,-34.53,20.04,55.4,1.12
Butaritari,18,KI,78,3.07,172.79,82.06,10.87
Rikitea,63,PF,80,-23.12,-134.97,77.59,15.43
Alofi,75,NU,74,-19.06,-169.92,82.4,23.04
Huarmey,100,PE,85,-10.07,-78.15,67.71,7.34
Lompoc,75,US,54,34.64,-120.46,55.4,3.36
Mahébourg,75,MU,83,-20.41,57.7,75.2,11.41
Punta Arenas,100,CL,81,-53.15,-70.92,50.0,3.36
Kapaa,75,US,74,22.08,-159.32,80.6,9.17
Along,9,IN,59,28.17,94.77,58.14,0.47
East London,99,ZA,82,-33.02,27.91,68.94,9.95
Ushuaia,90,AR,93,-54.8,-68.3,44.6,2.24
Sheffield,99,GB,93,53.38,-1.47,37.99,6.04
College,75,US,84,64.86,-147.8,12.0,2.35
Tuktoyaktuk,75,CA,75,69.45,-133.04,-18.4,4.7
Severo-Kuril'sk,90,RU,87,50.68,156.12,27.07,22.7
La Baule-Escoublac,90,FR,93,47.29,-2.36,53.6,14.99
Truro,35,GB,93,50.27,-5.05,48.2,23.04
Port Hardy,75,CA,100,50.7,-127.42,44.6,2.24
Wanning,100,CN,89,18.8,110.4,70.93,11.74
Mwene-Ditu,100,CD,100,-7.0,23.45,65.68,4.32
Busselton,64,AU,9,-33.65,115.33,93.99,11.52
Avarua,0,CK,74,-21.21,-159.78,82.4,8.05
New Norfolk,72,AU,45,-42.78,147.06,64.0,3.0
Torbay,75,CA,100,47.67,-52.73,37.99,21.92
Bathsheba,20,BB,74,13.22,-59.52,78.8,12.75
Hilo,20,US,58,19.73,-155.09,82.4,10.29
Port Lincoln,44,AU,63,-34.73,135.87,65.41,21.16
Lorengau,70,PG,64,-2.02,147.27,85.77,5.23
Mozarlândia,100,BR,83,-14.74,-50.57,72.21,6.02
Hithadhoo,100,MV,69,-0.6,73.08,82.09,10.0
Bachaquero,68,VE,83,9.97,-71.15,79.48,5.7
Deputatsky,38,RU,84,69.3,139.9,-33.54,1.9
Tigzirt,30,DZ,68,36.89,4.12,52.75,16.06
